crate,file,modified,deps_count,features_count,target_id,profile_id
zmij,build-script-build-script-build.json,2026-01-25 17:08:55,0,2,5408242616063297496,3033921117576893
log,lib-log.json,2026-01-25 18:31:55,0,2,6550155848337067049,8276155916380437441
zerotrie,lib-zerotrie.json,2026-01-25 18:31:57,3,20,12445875338185814621,8276155916380437441
zerovec,lib-zerovec.json,2026-01-25 19:02:23,3,18,1825474209729987087,5347358027863023418
socket2,lib-socket2.json,2026-01-25 18:36:07,1,7,2270514485357617025,5347358027863023418
getrandom,build-script-build-script-build.json,2026-01-25 18:31:53,0,2,5408242616063297496,2137264198672173278
rustix,lib-rustix.json,2026-01-25 18:49:38,4,33,16221545317719767766,1635897669010708261
httparse,build-script-build-script-build.json,2026-01-25 18:31:53,0,18,17883862002600103897,7951715458933780528
errno,lib-errno.json,2026-01-25 18:31:55,1,7,17743456753391690785,8919574114734409902
http,lib-http.json,2026-01-25 18:36:07,3,2,11009710222111042559,5347358027863023418
static_assertions,lib-static_assertions.json,2026-01-25 18:49:38,0,2,4712552111018528150,8276155916380437441
displaydoc,lib-displaydoc.json,2026-01-25 18:49:39,3,2,9331843185013996172,3033921117576893
potential_utf,lib-potential_utf.json,2026-01-25 18:49:42,1,11,16089386906944150126,8276155916380437441
serde_derive,lib-serde_derive.json,2026-01-25 18:31:56,3,11,13076129734743110817,3033921117576893
rustversion,build-script-build-script-build.json,2026-01-25 18:49:38,0,2,17883862002600103897,3033921117576893
serde_core,lib-serde_core.json,2026-01-25 18:31:54,1,17,6810695588070812737,8276155916380437441
icu_properties_data,build-script-build-script-build.json,2026-01-25 18:31:53,0,2,5408242616063297496,12587308339056959103
signal-hook-registry,lib-signal_hook_registry.json,2026-01-25 18:49:37,2,2,17877812014956321412,10948163360653302055
getrandom,lib-getrandom.json,2026-01-25 18:31:55,3,2,11669924403970522481,15669129585889599919
smallvec,lib-smallvec.json,2026-01-25 18:36:06,0,18,9091769176333489034,5347358027863023418
synstructure,lib-synstructure.json,2026-01-25 18:49:39,3,25,14291004384071580589,3033921117576893
mio,lib-mio.json,2026-01-25 22:08:11,2,46,15795524848372194723,8276155916380437441
either,lib-either.json,2026-01-25 19:02:22,0,18,17124342308084364240,5347358027863023418
foldhash,lib-foldhash.json,2026-01-25 18:49:37,0,2,18077926938045032029,8276155916380437441
native-tls,lib-native_tls.json,2026-01-25 18:49:38,5,2,17032036260282835112,8276155916380437441
futures-sink,lib-futures_sink.json,2026-01-25 18:36:06,0,27,10827111567014737887,17669703692130904899
zmij,run-build-script-build-script-build.json,2026-01-25 17:08:57,1,0,0,0
parking_lot,lib-parking_lot.json,2026-01-25 19:02:23,2,11,9887373948397848517,5347358027863023418
syn,lib-syn.json,2026-01-25 18:49:39,3,114,9442126953582868550,3033921117576893
unicode-width,lib-unicode_width.json,2026-01-25 19:02:23,0,18,16876147670056848225,5347358027863023418
rust_ui_poc,bin-rust_ui_poc.json,2026-01-25 19:02:25,5,2,3179107961083900654,6675295047989516842
idna_adapter,lib-idna_adapter.json,2026-01-25 19:02:24,2,17,9682399050268992880,5347358027863023418
icu_collections,lib-icu_collections.json,2026-01-25 18:31:58,5,2,8741949119514994751,8276155916380437441
proc-macro2,lib-proc_macro2.json,2026-01-25 18:31:54,2,25,369203346396300798,3033921117576893
icu_provider,lib-icu_provider.json,2026-01-25 19:02:23,7,9,8134314816311233441,5347358027863023418
stability,lib-stability.json,2026-01-25 18:49:39,2,2,14714005525244714463,3033921117576893
strum_macros,lib-strum_macros.json,2026-01-25 18:49:40,5,2,14672843957833403715,3033921117576893
utf8_iter,lib-utf8_iter.json,2026-01-25 18:31:54,0,2,6216520282702351879,8276155916380437441
proc-macro2,build-script-build-script-build.json,2026-01-25 17:08:55,0,14,5408242616063297496,3033921117576893
indexmap,lib-indexmap.json,2026-01-25 18:31:54,2,18,10391229881554802429,10735569672703643688
quote,build-script-build-script-build.json,2026-01-25 17:08:55,0,14,5408242616063297496,3033921117576893
litemap,lib-litemap.json,2026-01-25 18:36:06,0,2,6548088149557820361,5347358027863023418
tempfile,lib-tempfile.json,2026-01-25 19:02:23,4,24,44311651032485388,5347358027863023418
system-configuration,lib-system_configuration.json,2026-01-25 18:36:08,3,2,2991795191051838869,5347358027863023418
time-core,lib-time_core.json,2026-01-25 22:08:11,0,2,10582047573009931897,14638957158798425657
memchr,lib-memchr.json,2026-01-25 18:36:07,0,27,11745930252914242013,5347358027863023418
strum,lib-strum.json,2026-01-25 19:02:23,1,44,15186898899594918116,5347358027863023418
native-tls,lib-native_tls.json,2026-01-25 18:36:08,5,2,17032036260282835112,5347358027863023418
h2,lib-h2.json,2026-01-25 18:36:10,11,2,15383560931896426848,2908210774301854779
powerfmt,lib-powerfmt.json,2026-01-25 22:08:11,0,2,3190409771209632544,8276155916380437441
stable_deref_trait,lib-stable_deref_trait.json,2026-01-25 18:31:53,0,2,5616890217583455155,8276155916380437441
quote,run-build-script-build-script-build.json,2026-01-25 18:31:54,1,0,0,0
hashbrown,lib-hashbrown.json,2026-01-25 19:02:23,3,89,13796197676120832388,5347358027863023418
icu_normalizer,lib-icu_normalizer.json,2026-01-25 18:36:08,5,17,4082895731217690114,13618971937424046282
core-foundation-sys,lib-core_foundation_sys.json,2026-01-25 18:36:06,0,19,18224550799097559944,5347358027863023418
num-conv,lib-num_conv.json,2026-01-25 22:08:11,0,2,8759765779269301280,13197922422873053082
pin-project-lite,lib-pin_project_lite.json,2026-01-25 18:31:53,0,2,7529200858990304138,7836895014288040385
system-configuration-sys,run-build-script-build-script-build.json,2026-01-25 18:31:56,1,0,0,0
fastrand,lib-fastrand.json,2026-01-25 18:31:53,0,27,9543367341069791401,8276155916380437441
tokio-native-tls,lib-tokio_native_tls.json,2026-01-25 18:49:38,2,2,1892474590604224423,8276155916380437441
bitflags,lib-bitflags.json,2026-01-25 18:31:53,0,7,7691312148208718491,8276155916380437441
proc-macro2,run-build-script-build-script-build.json,2026-01-25 17:08:56,1,0,0,0
zerovec,lib-zerovec.json,2026-01-25 18:31:58,3,18,1825474209729987087,8276155916380437441
icu_properties_data,lib-icu_properties_data.json,2026-01-25 18:36:06,1,2,9037757742335137726,8265957076240128272
icu_normalizer,lib-icu_normalizer.json,2026-01-25 18:49:42,5,17,4082895731217690114,6954320141071726532
itertools,lib-itertools.json,2026-01-25 18:49:38,1,2,9541170365560449339,8276155916380437441
zerotrie,lib-zerotrie.json,2026-01-25 19:02:22,3,20,12445875338185814621,5347358027863023418
icu_properties_data,run-build-script-build-script-build.json,2026-01-25 18:31:53,1,0,0,0
tokio-util,lib-tokio_util.json,2026-01-25 18:31:56,5,26,17993092506817503379,11288557065332182770
rust_ui_poc,bin-rust_ui_poc.json,2026-01-25 22:08:13,7,2,3179107961083900654,2330448797067240312
rust_ui_poc,test-bin-rust_ui_poc.json,2026-01-25 18:06:27,2,2,3179107961083900654,15057526963834790232
icu_locale_core,lib-icu_locale_core.json,2026-01-25 18:36:08,5,11,7234736894702847895,5347358027863023418
scopeguard,lib-scopeguard.json,2026-01-25 18:49:37,0,2,3556356971060988614,8276155916380437441
rustix,lib-rustix.json,2026-01-25 18:36:08,4,33,16221545317719767766,15966260792043520667
hyper,lib-hyper.json,2026-01-25 18:36:10,16,63,5299595107718448861,5347358027863023418
writeable,lib-writeable.json,2026-01-25 18:36:06,0,2,6209224040855486982,5347358027863023418
unicode-truncate,lib-unicode_truncate.json,2026-01-25 19:02:23,3,18,5831585440813240995,5347358027863023418
proc-macro2,lib-proc_macro2.json,2026-01-25 17:08:56,2,14,369203346396300798,3033921117576893
litemap,lib-litemap.json,2026-01-25 18:31:53,0,2,6548088149557820361,8276155916380437441
icu_collections,lib-icu_collections.json,2026-01-25 18:49:42,5,2,8741949119514994751,8276155916380437441
serde_core,build-script-build-script-build.json,2026-01-25 17:08:55,0,17,5408242616063297496,3033921117576893
zmij,lib-zmij.json,2026-01-25 17:08:57,1,2,16603507647234574737,5347358027863023418
quote,lib-quote.json,2026-01-25 17:08:57,2,14,8313845041260779044,3033921117576893
writeable,lib-writeable.json,2026-01-25 18:31:53,0,2,6209224040855486982,8276155916380437441
strum,lib-strum.json,2026-01-25 18:49:40,1,44,15186898899594918116,8276155916380437441
socket2,lib-socket2.json,2026-01-25 18:31:55,1,7,2270514485357617025,8276155916380437441
termcolor,lib-termcolor.json,2026-01-25 22:08:11,0,2,386963995487357571,8276155916380437441
system-configuration,lib-system_configuration.json,2026-01-25 18:31:56,3,2,2991795191051838869,8276155916380437441
futures-io,lib-futures_io.json,2026-01-25 18:36:06,0,7,5742820543410686210,17669703692130904899
native-tls,build-script-build-script-build.json,2026-01-25 18:31:53,0,2,12318548087768197662,3033921117576893
