depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count,alpha_t,weak_contrib_ratio,collapse_proxy
11,0.461037934,-0.003132645,0.000000000,0.000000000,0.000000000,0,1.000000000,10,127.753005981,0.993758559,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,53,"ConstraintPropagation:3|Cost:2|Performance:3|Refactor:24|Reliability:14|Structural:7",1.426529050,6,10,153.670639038,207.501876831,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.967708647,0.996680021,0.037050001,0.000000000,0.032291356,0.001360000,278.704254150,"false",global_robust,10,1,2.174170732,153.670639038,3.744607925,207.501876831,405,180,1,4,0.100000001,0.032258064,0.000000000
12,0.457675904,-0.003362025,0.000000000,0.000000000,0.000000000,0,1.000000000,3,0.270696551,2.206399918,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,86,"ConstraintPropagation:6|Cost:4|Performance:6|Refactor:40|Reliability:18|Structural:12",1.472404957,6,3,557.231994629,240.884109497,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.967708647,0.996680021,0.037050001,0.000000000,0.032291356,0.001360000,278.704254150,"false",global_robust,3,1,1.833813190,557.231994629,0.402042061,240.884109497,27,12,1,4,0.100000001,0.032258064,0.000000000
13,0.454799712,-0.002876176,0.000000000,0.000000000,0.000000000,0,1.000000000,8,16229.194335938,0.455332816,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,27,"ConstraintPropagation:2|Cost:1|Performance:2|Refactor:14|Reliability:6|Structural:2",1.375235319,6,8,1951.075073242,4384.146484375,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.967708647,0.996680021,0.037050001,0.000000000,0.032291356,0.001360000,278.704254150,"false",global_robust,8,1,113.575111389,1951.075073242,290.877258301,4384.146484375,252,112,1,4,0.100000001,0.032258064,0.000000000
14,0.451381207,-0.003418521,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.324493885,2.143632889,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,97,"ConstraintPropagation:7|Cost:4|Performance:7|Refactor:44|Reliability:20|Structural:15",1.483704209,6,7,179.029525757,223.289062500,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.967708647,0.996680021,0.037050001,0.000000000,0.032291356,0.001360000,278.704254150,"false",global_robust,7,1,0.501815736,179.029525757,0.631677508,223.289062500,189,84,1,4,0.100000001,0.032258064,0.000000000
15,0.448393553,-0.002987633,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.563508153,2.596254110,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,66,"ConstraintPropagation:5|Cost:3|Performance:5|Refactor:34|Reliability:14|Structural:5",1.397526503,6,6,278.567932129,215.777847290,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.967708647,0.996680021,0.037050001,0.000000000,0.032291356,0.001360000,278.704254150,"false",global_robust,6,1,0.886966407,278.567932129,0.702537775,215.777847290,135,60,1,4,0.100000001,0.032258064,0.000000000
16,0.445319176,-0.003074395,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.955718696,2.142650127,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,62,"ConstraintPropagation:5|Cost:3|Performance:5|Refactor:32|Reliability:12|Structural:5",1.414878964,6,6,278.704284668,215.883529663,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.967708647,0.996680021,0.037050001,0.000000000,0.032291356,0.001360000,278.704254150,"false",global_robust,6,1,1.038149118,278.704284668,0.825604260,215.883529663,135,60,1,4,0.100000001,0.032258064,0.000000000
17,0.442244768,-0.003074395,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.955947638,2.143803835,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,62,"ConstraintPropagation:5|Cost:3|Performance:5|Refactor:32|Reliability:12|Structural:5",1.414878964,6,6,278.704284668,215.883529663,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.967708647,0.996680021,0.037050001,0.000000000,0.032291356,0.001360000,278.704254150,"false",global_robust,6,1,1.038109899,278.704284668,0.825586736,215.883529663,135,60,1,4,0.100000001,0.032258064,0.000000000
18,0.439170390,-0.003074395,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.956176341,2.144942999,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,62,"ConstraintPropagation:5|Cost:3|Performance:5|Refactor:32|Reliability:12|Structural:5",1.414878964,6,6,278.704254150,215.883529663,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.967708647,0.996680021,0.037050001,0.000000000,0.032291356,0.001360000,278.704254150,"false",global_robust,6,1,1.038073540,278.704254150,0.825571120,215.883529663,135,60,1,4,0.100000001,0.032258064,0.000000000
19,0.436095983,-0.003074395,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.956404626,2.146069527,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,62,"ConstraintPropagation:5|Cost:3|Performance:5|Refactor:32|Reliability:12|Structural:5",1.414878964,6,6,278.704254150,215.883529663,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.967708647,0.996680021,0.037050001,0.000000000,0.032291356,0.001360000,278.704254150,"false",global_robust,6,1,1.038040400,278.704254150,0.825557292,215.883529663,135,60,1,4,0.100000001,0.032258064,0.000000000
20,0.433021605,-0.003074395,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.956632972,2.147183180,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,62,"ConstraintPropagation:5|Cost:3|Performance:5|Refactor:32|Reliability:12|Structural:5",1.414878964,6,6,278.704254150,215.883529663,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.967708647,0.996680021,0.037050001,0.000000000,0.032291356,0.001360000,278.704254150,"false",global_robust,6,1,1.038010001,278.704254150,0.825545311,215.883529663,135,60,1,4,0.100000001,0.032258064,0.000000000
21,0.429947197,-0.003074395,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.956860960,2.148279428,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,62,"ConstraintPropagation:5|Cost:3|Performance:5|Refactor:32|Reliability:12|Structural:5",1.414878964,6,6,278.704254150,215.883529663,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.967708647,0.996680021,0.037050001,0.000000000,0.032291356,0.001360000,278.704254150,"false",global_robust,6,1,1.037982583,278.704254150,0.825535119,215.883529663,135,60,1,4,0.100000001,0.032258064,0.000000000
22,0.426872790,-0.003074395,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.957088351,2.149366379,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,62,"ConstraintPropagation:5|Cost:3|Performance:5|Refactor:32|Reliability:12|Structural:5",1.414878964,6,6,278.704254150,215.883529663,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.967708647,0.996680021,0.037050001,0.000000000,0.032291356,0.001360000,278.704254150,"false",global_robust,6,1,1.037958145,278.704254150,0.825526774,215.883529663,135,60,1,4,0.100000001,0.032258064,0.000000000
23,0.423798412,-0.003074395,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.957315743,2.150438070,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,62,"ConstraintPropagation:5|Cost:3|Performance:5|Refactor:32|Reliability:12|Structural:5",1.414878964,6,6,278.704254150,215.883529663,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.967708647,0.996680021,0.037050001,0.000000000,0.032291356,0.001360000,278.704254150,"false",global_robust,6,1,1.037936568,278.704254150,0.825520158,215.883529663,135,60,1,4,0.100000001,0.032258064,0.000000000
24,0.420724005,-0.003074395,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.957542896,2.151496649,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,62,"ConstraintPropagation:5|Cost:3|Performance:5|Refactor:32|Reliability:12|Structural:5",1.414878964,6,6,278.704254150,215.883529663,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.967708647,0.996680021,0.037050001,0.000000000,0.032291356,0.001360000,278.704254150,"false",global_robust,6,1,1.037917733,278.704254150,0.825515270,215.883529663,135,60,1,4,0.100000001,0.032258064,0.000000000
25,0.417649627,-0.003074395,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.957769930,2.152542353,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,62,"ConstraintPropagation:5|Cost:3|Performance:5|Refactor:32|Reliability:12|Structural:5",1.414878964,6,6,278.704254150,215.883529663,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.967708647,0.996680021,0.037050001,0.000000000,0.032291356,0.001360000,278.704254150,"false",global_robust,6,1,1.037901759,278.704254150,0.825512111,215.883529663,135,60,1,4,0.100000001,0.032258064,0.000000000
26,0.414575219,-0.003074395,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.957996190,2.153578758,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,62,"ConstraintPropagation:5|Cost:3|Performance:5|Refactor:32|Reliability:12|Structural:5",1.414878964,6,6,278.704254150,215.883529663,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.967708647,0.996680021,0.037050001,0.000000000,0.032291356,0.001360000,278.704254150,"false",global_robust,6,1,1.037888765,278.704254150,0.825510740,215.883529663,135,60,1,4,0.100000001,0.032258064,0.000000000
