variant,depth,beam_index,rule_id,objective_vector_raw,objective_vector_norm
Ortho,71,0,000000000000000000000000000003f7,"0.997853514|0.172830850|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,71,1,000000000000000000000000000003f7,"0.997853514|0.172830850|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,71,2,000000000000000000000000000003f7,"0.997853514|0.172830850|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,71,3,000000000000000000000000000003f7,"0.997853514|0.172830850|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,71,4,000000000000000000000000000003f7,"0.997853514|0.172830850|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,72,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,72,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,72,2,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,72,3,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,72,4,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,73,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,73,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,73,2,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,73,3,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,73,4,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,74,0,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
Ortho,74,1,000000000000000000000000000003f7,"0.997853514|0.172830924|1.000000000|1.000000000","0.000000000|0.000000000|0.000000000|0.000000000"
