depth,candidate_id,objective_0,objective_1,objective_2,objective_3
17,4,0.99865,0.08161678910255432,1,0.9982
17,5,0.99865,0.060351401567459106,1,0.9982
17,6,0.99955,0.0719919204711914,0.9796226171236442,0.9994
17,7,0.99955,0.12116964906454086,0.9796226171236442,0.9994
17,8,0.99865,0.060387466102838516,0.9821952610808831,0.9982
17,9,0.9991,0.03829490765929222,0.9796226171236442,0.9988
17,10,0.9991,0.12418065965175629,0.9796226171236442,0.9988
17,11,0.9991,0.05789334326982498,0.9680961481226557,0.9988
17,12,0.9991,0.12418065965175629,0.961317890488691,0.9988
17,13,0.99865,0.15280510485172272,0.961317890488691,0.9982
17,14,0.99865,0.0672478973865509,0.961317890488691,0.9982
17,15,0.99865,0.08161678910255432,0.9607448711222846,0.9982
17,16,0.9991,0.0825255885720253,0.9541453996408347,0.9988
17,17,0.99865,0.046131059527397156,0.9555009857490288,0.9982
17,18,0.9991,0.12418065965175629,0.9536563208552611,0.9988
17,19,0.99955,0.04588504880666733,0.9497061654264589,0.9994
17,20,0.9991,0.0506606251001358,0.951178385724086,0.9988
17,21,0.99955,0.12116964906454086,0.9487031688843232,0.9994
17,22,0.99865,0.08898675441741943,0.9497914214877025,0.9982
17,23,0.9991,0.03989429399371147,0.9466493783740616,0.9988
17,24,0.99865,0.11516320705413818,0.9358406730058815,0.9982
17,25,0.99865,0,0.9353515942203079,0.9982
17,26,0.9991,0,0.93039844224937,0.9988
17,27,0.99865,0,0.9283446517391084,0.9982
17,28,0.9232,0,1,0.99752
17,29,0.9232,0,0.9987100335383333,0.99752
17,30,0.9232,0,0.961317890488691,0.99752
17,31,0.9232,0,0.9583689111836722,0.99752
17,32,0.9232,0,0.9446538273480843,0.99752
17,33,0.9232,0,0.9063758374618335,0.99752
17,34,0.84865,0,0.9796226171236442,0.99812
17,35,0.84865,0,0.9629585539830375,0.99812
17,36,0.84865,0,0.9246805640967867,0.99812
17,37,0.5490999999999999,0,1,0.99872
17,38,0.5490999999999999,0,0.9796226171236442,0.99872
17,39,0.5490999999999999,0,0.9796226171236442,0.99872
17,40,0.5490999999999999,0,0.97358973777067,0.99872
18,0,0.99955,0.05965854227542877,1,0.9994
18,1,0.99955,0.05965854227542877,1,0.9994
18,2,0.9991,0.05041123926639557,1,0.9988
18,3,0.99865,0.06027791276574135,1,0.9982
18,4,0.99865,0.05134955793619156,1,0.9982
18,5,0.99865,0.08131147921085358,1,0.9982
18,6,0.99955,0.12115612626075745,0.9808212867046063,0.9994
18,7,0.99955,0.07196538895368576,0.9808212867046063,0.9994
18,8,0.99865,0.06018824875354767,0.9832425986643606,0.9982
18,9,0.9991,0.03830099478363991,0.9808212867046063,0.9988
18,10,0.9991,0.1240612044930458,0.9808212867046063,0.9988
18,11,0.9991,0.057861778885126114,0.9699728452919112,0.9988
18,12,0.9991,0.1240612044930458,0.9635933086952386,0.9988
18,13,0.99865,0.15263918042182922,0.9635933086952386,0.9982
18,14,0.99865,0.06719069182872772,0.9635933086952386,0.9982
18,15,0.99865,0.08131147921085358,0.9630539963503855,0.9982
18,16,0.9991,0.08237301558256149,0.9568427290737268,0.9988
18,17,0.99865,0.046090248972177505,0.9581185748226153,0.9982
18,18,0.9991,0.1240612044930458,0.9563824196284809,0.9988
18,19,0.99955,0.045964691787958145,0.9526646262837261,0.9994
18,20,0.9991,0.05041123926639557,0.954050245387375,0.9988
18,21,0.99955,0.12115612626075745,0.9517206295381866,0.9994
18,22,0.99865,0.08890872448682785,0.9527448672825435,0.9982
18,23,0.9991,0.03982078656554222,0.9497876502344109,0.9988
18,24,0.99865,0.11496467888355255,0.9396147510643591,0.9982
18,25,0.99865,0,0.9391544416191132,0.9982
18,26,0.9991,0,0.9344926515288188,0.9988
18,27,0.99865,0,0.9325596722250432,0.9982
18,28,0.9232,0,1,0.99752
18,29,0.9232,0,0.9987859139184314,0.99752
18,30,0.9232,0,0.9635933086952386,0.99752
18,31,0.9232,0,0.9608177987611032,0.99752
18,32,0.9232,0,0.9479094845629029,0.99752
18,33,0.9232,0,0.9118831411405491,0.99752
18,34,0.84865,0,0.9808212867046063,0.99812
18,35,0.84865,0,0.9651374625722706,0.99812
18,36,0.84865,0,0.9291111191499168,0.99812
18,37,0.5490999999999999,0,1,0.99872
18,38,0.5490999999999999,0,1,0.99872
18,39,0.5490999999999999,0,0.9808212867046063,0.99872
18,40,0.5490999999999999,0,0.9808212867046063,0.99872
19,0,0.99955,0.05963004380464554,1,0.9994
19,1,0.99955,0.05963004380464554,1,0.9994
19,2,0.9991,0.05016254261136055,1,0.9988
19,3,0.99865,0.05117134004831314,1,0.9982
19,4,0.99865,0.06020454689860344,1,0.9982
19,5,0.99865,0.08100684732198715,1,0.9982
19,6,0.99955,0.07193895429372787,0.9818867707765726,0.9994
19,7,0.99955,0.12114217877388,0.9818867707765726,0.9994
19,8,0.99865,0.059989526867866516,0.9841735654052295,0.9982
19,9,0.9991,0.03830699250102043,0.9818867707765726,0.9988
19,10,0.9991,0.12394163757562637,0.9818867707765726,0.9988
19,11,0.9991,0.05783012509346008,0.9716410205534717,0.9988
19,12,0.9991,0.12394163757562637,0.9656159026566142,0.9988
19,13,0.99865,0.0671335831284523,0.9656159026566142,0.9982
19,14,0.99865,0.15247322618961334,0.9656159026566142,0.9982
19,15,0.99865,0.08100684732198715,0.9651065521086974,0.9982
19,16,0.9991,0.08222075551748276,0.9592403552362975,0.9988
19,17,0.99865,0.04604988545179367,0.9604453206658033,0.9982
19,18,0.9991,0.12394163757562637,0.9588056185380098,0.9988
19,19,0.99955,0.04604397714138031,0.9552943692679634,0.9994
19,20,0.9991,0.05016254261136055,0.9566030095325209,0.9988
19,21,0.99955,0.12114217877388,0.9544028167860651,0.9994
19,22,0.99865,0.08883064240217209,0.9553701524335133,0.9982
19,23,0.9991,0.039747752249240875,0.9525772252213881,0.9988
19,24,0.99865,0.11476650089025497,0.9429694871163391,0.9982
19,25,0.99865,0,0.9425347504180515,0.9982
19,26,0.9991,0,0.9381319486661067,0.9988
19,27,0.99865,0,0.9363063571014297,0.9982
19,28,0.9232,0,1,0.99752
19,29,0.9232,0,0.9988533631451852,0.99752
19,30,0.9232,0,0.9656159026566142,0.99752
19,31,0.9232,0,0.9629945877188196,0.99752
19,32,0.9232,0,0.9508034020871861,0.99752
