depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us
21,0.474937767,-0.007688280,0.140000001,1.000000000,1.000000000,2,1.087712526,8,0.021287071,0.880637467,0.528786957,0.052878696,0.542894602,0.457105428,13.387390137,0.000000000,18,0.050000001,1049.270019531,0.038897146,1.001944900,842.583984375
22,0.467073858,-0.007863927,0.140000001,1.000000000,1.000000000,2,1.087712526,8,0.014540189,0.885977507,0.344950795,0.034495078,0.541445255,0.458554775,13.387390137,0.000000000,18,0.050000001,1092.109375000,0.038995139,1.001949787,849.500000000
23,0.459719270,-0.007354586,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.483352304,0.048335232,0.555502295,0.444497734,13.387390137,0.000000000,21,0.050000001,1133.246704102,0.040469702,1.002023458,888.000000000
24,0.452009857,-0.007709416,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.559813619,0.440186381,13.387390137,0.000000000,20,0.050000001,1172.854370117,0.041836839,1.002091885,938.166992188
25,0.444272012,-0.007737833,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.571614504,0.428385496,13.387390137,0.000000000,21,0.050000001,1210.556152344,0.042168424,1.002108455,969.375000000
26,0.436508298,-0.007763726,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.574604571,0.425395459,13.387390137,0.000000000,20,0.050000001,1246.841308594,0.043348320,1.002167463,1060.500000000
27,0.428719461,-0.007788833,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.586305857,0.413694143,13.387390137,0.000000000,21,0.050000001,1281.271728516,0.043551017,1.002177596,1094.416992188
28,0.420905322,-0.007814121,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.589496315,0.410503715,13.387390137,0.000000000,20,0.050000001,1314.417236328,0.044575386,1.002228737,1080.375000000
29,0.413066685,-0.007838637,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.601093352,0.398906678,13.387390137,0.000000000,21,0.050000001,1345.783935547,0.044677012,1.002233863,1187.250000000
30,0.405203372,-0.007863315,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.604483962,0.395516008,13.387390137,0.000000000,20,0.050000001,1376.001831055,0.045578912,1.002278924,1217.500000000
31,0.397316158,-0.007887237,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.615974605,0.384025395,13.387390137,0.000000000,21,0.050000001,1404.528076172,0.045602951,1.002280116,1274.291992188
32,0.389404833,-0.007911306,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.619565308,0.380434692,13.387390137,0.000000000,20,0.050000001,1432.039184570,0.046408437,1.002320409,1326.333984375
33,0.381470203,-0.007934639,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.630947471,0.369052559,13.387390137,0.000000000,21,0.050000001,1457.949096680,0.046372458,1.002318621,1320.750000000
34,0.373512089,-0.007958101,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.634737968,0.365262002,13.387390137,0.000000000,20,0.050000001,1482.971069336,0.047101259,1.002355099,1433.333007812
35,0.365531266,-0.007980848,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.646009564,0.353990465,13.387390137,0.000000000,21,0.050000001,1506.481811523,0.047018323,1.002350926,1411.208007812
36,0.357527554,-0.008003709,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.649999738,0.350000292,13.387390137,0.000000000,20,0.050000001,1529.223632812,0.047685366,1.002384305,1496.666015625
37,0.349501669,-0.008025871,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.661158681,0.338841319,13.387390137,0.000000000,21,0.050000001,1550.540771484,0.047565188,1.002378225,1488.250000000
38,0.341453552,-0.008048132,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.665348232,0.334651798,13.387390137,0.000000000,20,0.050000001,1571.199584961,0.048181880,1.002409101,1487.208007812
39,0.333383828,-0.008069720,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.676392555,0.323607445,13.387390137,0.000000000,21,0.050000001,1590.515625000,0.048031807,1.002401590,1543.791992188
40,0.325292438,-0.008091392,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.680781245,0.319218755,13.387390137,0.000000000,20,0.050000001,1609.275146484,0.048607014,1.002430320,1580.125000000
41,0.317180037,-0.008112406,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.691709042,0.308290988,13.387390137,0.000000000,21,0.050000001,1626.768920898,0.048432603,1.002421618,1621.791992188
42,0.309046537,-0.008133493,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.696296573,0.303703457,13.387390137,0.000000000,20,0.050000001,1643.799316406,0.048973288,1.002448678,1660.416992188
43,0.300892591,-0.008153945,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.707105815,0.292894185,13.387390137,0.000000000,21,0.050000001,1659.635253906,0.048778925,1.002438903,1816.041992188
44,0.292718142,-0.008174457,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.711891949,0.288108051,13.387390137,0.000000000,20,0.050000001,1675.093017578,0.049290627,1.002464533,1757.208007812
45,0.284523785,-0.008194353,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.722580791,0.277419180,13.387390137,0.000000000,21,0.050000001,1689.422485352,0.049079701,1.002454042,1794.916992188
46,0.276309490,-0.008214297,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.727565289,0.272434711,13.387390137,0.000000000,20,0.050000001,1703.451538086,0.049566891,1.002478361,1836.958007812
47,0.268075824,-0.008233646,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.738131881,0.261868119,13.387390137,0.000000000,21,0.050000001,1716.412719727,0.049342126,1.002467155,1824.000000000
48,0.259822786,-0.008253033,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.743314385,0.256685615,13.387390137,0.000000000,20,0.050000001,1729.144409180,0.049808402,1.002490401,1886.708007812
49,0.251550943,-0.008271847,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.753756881,0.246243134,13.387390137,0.000000000,21,0.050000001,1740.864013672,0.049571954,1.002478600,1925.750000000
50,0.243260264,-0.008290688,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.759137154,0.240862861,13.387390137,0.000000000,20,0.050000001,1752.418334961,0.050020304,1.002501011,1989.041992188
51,0.234951288,-0.008308975,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.769453764,0.230546236,13.387390137,0.000000000,21,0.050000001,1763.011596680,0.049773958,1.002488732,2076.166992188
52,0.226624012,-0.008327278,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.775031507,0.224968508,13.387390137,0.000000000,20,0.050000001,1773.497924805,0.050206874,1.002510309,2113.333007812
53,0.218278959,-0.008345048,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.785220504,0.214779481,13.387390137,0.000000000,21,0.050000001,1783.069702148,0.049952060,1.002497554,2094.000000000
54,0.209916130,-0.008362829,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.790995419,0.209004566,13.387390137,0.000000000,20,0.050000001,1792.587646484,0.050371587,1.002518535,2144.583007812
55,0.201536044,-0.008380094,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.801055133,0.198944852,13.387390137,0.000000000,21,0.050000001,1801.233398438,0.050109524,1.002505422,2184.916992188
56,0.193138674,-0.008397359,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.807026982,0.192973033,13.387390137,0.000000000,20,0.050000001,1809.873413086,0.050517403,1.002525926,2235.208007812
57,0.184724554,-0.008414130,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.816955745,0.183044270,13.387390137,0.000000000,21,0.050000001,1817.680053711,0.050249066,1.002512455,2357.250000000
58,0.176293656,-0.008430892,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.823124170,0.176875845,13.387390137,0.000000000,20,0.050000001,1825.524536133,0.050646748,1.002532363,2302.375000000
59,0.167846486,-0.008447181,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.832920372,0.167079657,13.387390137,0.000000000,21,0.050000001,1832.570678711,0.050372973,1.002518654,2336.208007812
60,0.159383029,-0.008463456,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.839285135,0.160714895,13.387390137,0.000000000,20,0.050000001,1839.694335938,0.050761737,1.002538085,2424.708007812
61,0.150903746,-0.008479272,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.848947167,0.151052848,13.387390137,0.000000000,21,0.050000001,1846.051635742,0.050483242,1.002524137,2479.041015625
62,0.142408684,-0.008495069,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.855507970,0.144492045,13.387390137,0.000000000,20,0.050000001,1852.522094727,0.050864168,1.002543211,2525.125000000
63,0.133898258,-0.008510426,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.865034342,0.134965673,13.387390137,0.000000000,21,0.050000001,1858.255493164,0.050581530,1.002529025,2598.166992188
64,0.125372499,-0.008525756,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.871790886,0.128209084,13.387390137,0.000000000,20,0.050000001,1864.134399414,0.050955504,1.002547741,2610.125000000
65,0.116831832,-0.008540667,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.881180108,0.118819892,13.387390137,0.000000000,21,0.050000001,1869.302612305,0.050669257,1.002533436,2705.041015625
66,0.108276285,-0.008555545,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.888132215,0.111867793,13.387390137,0.000000000,20,0.050000001,1874.645874023,0.051037103,1.002551913,2693.958984375
67,0.099706270,-0.008570017,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.897382796,0.102617219,13.387390137,0.000000000,21,0.050000001,1879.302246094,0.050747670,1.002537370,2726.875000000
68,0.091121815,-0.008584455,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.904530108,0.095469877,13.387390137,0.000000000,20,0.050000001,1884.160400391,0.051110111,1.002555490,2796.333984375
69,0.082523309,-0.008598505,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.913640678,0.086359322,13.387390137,0.000000000,21,0.050000001,1888.353393555,0.050817858,1.002540946,2791.416015625
70,0.073910803,-0.008612513,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.920983016,0.079016998,13.387390137,0.000000000,20,0.050000001,1892.772216797,0.051175464,1.002558827,2759.250000000
71,0.065284647,-0.008626149,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.929952145,0.070047840,13.387390137,0.000000000,21,0.050000001,1896.545654297,0.050880730,1.002544045,2852.916992188
72,0.056644909,-0.008639742,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.937489212,0.062510788,13.387390137,0.000000000,20,0.050000001,1900.566650391,0.051234070,1.002561688,2898.875000000
73,0.047991931,-0.008652977,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.946315646,0.053684358,13.387390137,0.000000000,21,0.050000001,1903.960205078,0.050937116,1.002546906,2919.583007812
74,0.039325766,-0.008666164,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.954047203,0.045952816,13.387390137,0.000000000,20,0.050000001,1907.621093750,0.051286645,1.002564311,3003.375000000
75,0.030646756,-0.008679010,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.962729573,0.037270401,13.387390137,0.000000000,21,0.050000001,1910.670776367,0.050987765,1.002549410,3076.791992188
76,0.021954950,-0.008691806,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.970655382,0.029344615,13.387390137,0.000000000,20,0.050000001,1914.005737305,0.051333852,1.002566695,3093.333007812
77,0.013250678,-0.008704273,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.979192555,0.020807473,13.387390137,0.000000000,21,0.050000001,1916.744140625,0.051033221,1.002551675,3114.541992188
78,0.004533991,-0.008716687,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,0.987312317,0.012687674,13.387390137,0.000000000,20,0.050000001,1919.783935547,0.051376276,1.002568841,3115.750000000
79,0.000000000,-0.004533991,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,0.995702982,0.004297022,13.387390137,0.000000000,21,0.050000001,1922.240478516,0.051074088,1.002553701,3197.291015625
80,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,1.000000000,0.000000000,13.387390137,0.000000000,20,0.050000001,1925.013183594,0.051414426,1.002570748,3308.333984375
81,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,1.000000000,0.000000000,13.387390137,0.000000000,21,0.050000001,1927.214721680,0.051110867,1.002555490,3282.708007812
82,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,1.000000000,0.000000000,13.387390137,0.000000000,20,0.050000001,1929.745605469,0.051448759,1.002572417,3293.208007812
83,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,1.000000000,0.000000000,13.387390137,0.000000000,21,0.050000001,1931.716308594,0.051143967,1.002557158,3390.375000000
84,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,1.000000000,0.000000000,13.387390137,0.000000000,20,0.050000001,1934.028320312,0.051479656,1.002573967,3436.750000000
85,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,1.000000000,0.000000000,13.387390137,0.000000000,21,0.050000001,1935.790039062,0.051173765,1.002558708,3516.708984375
86,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,1.000000000,0.000000000,13.387390137,0.000000000,20,0.050000001,1937.903930664,0.051507492,1.002575397,3535.541015625
87,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,1.000000000,0.000000000,13.387390137,0.000000000,21,0.050000001,1939.476440430,0.051200625,1.002560019,3571.000000000
88,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,1.000000000,0.000000000,13.387390137,0.000000000,20,0.050000001,1941.411132812,0.051532593,1.002576590,3601.833007812
89,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,1.000000000,0.000000000,13.387390137,0.000000000,21,0.050000001,1942.812500000,0.051224828,1.002561212,3450.458007812
90,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,1.000000000,0.000000000,13.387390137,0.000000000,20,0.050000001,1944.584960938,0.051555183,1.002577782,3579.666992188
91,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,1.000000000,0.000000000,13.387390137,0.000000000,21,0.050000001,1945.831420898,0.051246624,1.002562284,3646.208007812
92,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,1.000000000,0.000000000,13.387390137,0.000000000,20,0.050000001,1947.457031250,0.051575601,1.002578735,3701.708007812
93,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,1.000000000,0.000000000,13.387390137,0.000000000,21,0.050000001,1948.563354492,0.051266305,1.002563357,3772.666015625
94,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,1.000000000,0.000000000,13.387390137,0.000000000,20,0.050000001,1950.056030273,0.051593997,1.002579689,3755.250000000
95,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,1.000000000,0.000000000,13.387390137,0.000000000,21,0.050000001,1951.035400391,0.051284079,1.002564192,3853.916992188
96,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,1.000000000,0.000000000,13.387390137,0.000000000,20,0.050000001,1952.407836914,0.051610582,1.002580523,3875.791992188
97,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,1.000000000,0.000000000,13.387390137,0.000000000,21,0.050000001,1953.272460938,0.051300108,1.002565026,3904.500000000
98,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,1.000000000,0.000000000,13.387390137,0.000000000,20,0.050000001,1954.536010742,0.051625568,1.002581239,3927.666992188
99,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.017118622,0.895718217,0.522651076,0.052265104,1.000000000,0.000000000,13.387390137,0.000000000,21,0.050000001,1955.296752930,0.051314563,1.002565742,3980.041992188
100,0.000000000,0.000000000,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.012976825,0.895429015,0.424887419,0.042488743,1.000000000,0.000000000,13.387390137,0.000000000,20,0.050000001,1956.461791992,0.051639084,1.002581954,4033.708984375
