depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us
39,0.172121346,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
40,0.162121341,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
41,0.152121335,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
42,0.142121345,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
43,0.132121339,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
44,0.122121342,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
45,0.112121344,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
46,0.102121338,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
47,0.092121340,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
48,0.082121342,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
49,0.072121345,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
50,0.062121343,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
51,0.052121341,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
52,0.042121343,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,4,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
